"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24"
9.33333333333334,10.5,12.8333333333333,13.3333333333333,14.6666666666667,16.8333333333333,17.8333333333333,19.3333333333333,20.25,22.0833333333333,35.0833333333333,35.9166666666667,37,41,59.6666666666667,61.1666666666667,63.6666666666667,67.1666666666667,68.5,69.25,69.75,0,0,0
6.41666666666666,7.83333333333334,10.1666666666667,11.1666666666667,13.1666666666667,15.25,19.1666666666667,31.8333333333333,33,35,37.0833333333333,39.5,40.8333333333333,43.1666666666667,55.4166666666667,57.3333333333333,59,62.5,63.5,65.1666666666667,67.1666666666667,0,0,0
11,13,14.6666666666667,17.3333333333333,20.3333333333333,36,36.75,59.8333333333333,62.8333333333333,65.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.5,10.25,12.5,16.25,18.1666666666667,21,32.5,33.75,41,43,45.75,56.5,58.5,61,63.5,66.75,69.75,0,0,0,0,0,0,0
11.6666666666667,13.5,15.5,16.8333333333333,19.5,20.5,22,30.5,31.6666666666667,35,37.1666666666667,54.3333333333333,58.6666666666667,61.3333333333333,62.6666666666667,65.5,66.8333333333333,0,0,0,0,0,0,0
7.25,8.5,10.5,11,12.5,14,17,17.75,31,37,37.9166666666667,40.5,42,42.75,45.5,56,59.25,59.75,63.0833333333333,64.5,66.25,67,69,0
11,13,13.5,15,17.5,19.25,21,23.9833333333333,33,33.5,35.25,37.5,41.5,42.1666666666667,43.6666666666667,44.5,58,58.5,60.25,62.5,65.5,66,67,69.75
8.41666666666666,10.4166666666667,12.3333333333333,14.75,16.5,20.4166666666667,22.4166666666667,32.25,34.25,38.5,40.3333333333333,42.5,44.4166666666667,46.6666666666667,56.5833333333333,58.3333333333333,60.5833333333333,62.5833333333333,64.3333333333333,66.25,68.5,70.5833333333333,0,0
8.5,10.5,12,15.25,18,21,30.75,33.5,37.5,40,43,54.5,57.5,59.25,62,65,67.5,0,0,0,0,0,0,0
11.5,15,17.4833333333333,20,21.8333333333333,34.75,38,38.75,43,58.6,61.2666666666667,62.25,63.7833333333333,65,67.5166666666667,0,0,0,0,0,0,0,0,0
10.5,12.8333333333333,13.6666666666667,15.1666666666667,17,33,35.25,39.8333333333333,40.8333333333333,57,59.25,61.5,64.5,67.25,0,0,0,0,0,0,0,0,0,0
7,9,11.1666666666667,15.9166666666667,16.5833333333333,17.75,20.3333333333333,30.75,32.75,34.3333333333333,35.75,39.0833333333333,41.6666666666667,44,46.25,54.3333333333333,57.3333333333333,60.5833333333333,62.6666666666667,64.75,67.1666666666667,69.25,0,0
8,10,12.25,14,16.25,18.5,21,22.5,31.25,34.5,36.75,38.75,39.5,41.25,43,47,56.25,58.75,61.25,61.75,62.75,65,0,0
10.25,16,20.0833333333333,33.8333333333333,36.5,39.5,40.5,45.0833333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,9,11,14.25,16.5,17.5,18.5,20,29.5,32,33,35,36,38.8333333333333,41.3333333333333,43.1666666666667,53.8333333333333,56,58.75,62,63.5,65,67,0
